RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM30,COPDEM90,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
:ref:`01: Alaska<rgi01>`,27108,100%,75%,100%,76%,100%,100%,100%,--,100%,47%,--,--,47%,99%
:ref:`02: Western Canada and USA<rgi02>`,18855,17%,4%,100%,94%,100%,100%,100%,--,100%,93%,--,--,93%,98%
":ref:`03: Arctic Canada, North<rgi03>`",4556,--,99%,98%,63%,99%,99%,99%,15%,100%,--,--,--,--,100%
":ref:`04: Arctic Canada, South<rgi04>`",7415,--,97%,100%,44%,100%,100%,98%,--,100%,1%,--,--,1%,100%
:ref:`05: Greenland Periphery<rgi05>`,19306,--,95%,98%,71%,99%,99%,99%,100%,99%,--,--,--,--,99%
:ref:`06: Iceland<rgi06>`,568,--,97%,100%,27%,100%,100%,100%,--,100%,--,--,--,--,100%
:ref:`07: Svalbard and Jan Mayen<rgi07>`,1615,--,99%,100%,32%,100%,100%,100%,--,100%,--,--,--,--,99%
:ref:`08: Scandinavia<rgi08>`,3417,--,92%,100%,24%,100%,100%,100%,--,100%,8%,--,--,2%,100%
:ref:`09: Russian Arctic<rgi09>`,1069,--,98%,99%,7%,99%,99%,99%,--,100%,--,--,--,--,100%
":ref:`10: Asia, North<rgi10>`",5151,--,48%,99%,85%,99%,99%,99%,--,99%,69%,--,--,67%,100%
:ref:`11: Central Europe<rgi11>`,3927,--,--,100%,100%,99%,100%,100%,--,100%,100%,--,--,100%,93%
:ref:`12: Caucasus and Middle East<rgi12>`,1888,--,--,100%,100%,95%,100%,100%,--,100%,100%,--,--,100%,98%
":ref:`13: Asia, Central<rgi13>`",54429,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,98%
":ref:`14: Asia, South West<rgi14>`",27988,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,95%
":ref:`15: Asia, South East<rgi15>`",13119,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,94%
:ref:`16: Low Latitudes<rgi16>`,2939,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,99%
:ref:`17: Southern Andes<rgi17>`,15908,--,--,99%,99%,99%,99%,99%,--,100%,99%,--,--,99%,98%
:ref:`18: New Zealand<rgi18>`,3537,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,85%
:ref:`19: Antarctic and Subantarctic<rgi19>`,2752,--,--,78%,41%,89%,90%,78%,--,99%,25%,49%,20%,24%,87%
All RGI regions,215547,14%,28%,99%,87%,99%,99%,99%,9%,99%,73%,--,--,73%,97%
