RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
19-01: Subantarctic (Pacific),27,--,--,96%,--,92%,96%,--,100%,--,37%,--,--,100%
19-02: South Shetlands and South Orkney,412,--,--,91%,--,97%,98%,--,100%,--,72%,17%,--,51%
19-03: Subantarctic (Atlantic),553,--,--,97%,91%,96%,97%,--,100%,94%,--,--,92%,92%
19-04: Subantarctic (Indian),177,--,--,100%,99%,100%,100%,--,100%,100%,--,--,98%,98%
19-05: Balleny Islands,15,--,--,--,--,66%,40%,--,93%,--,6%,--,--,93%
19-11: E Queen Maud Land 7A,162,--,--,30%,--,72%,11%,--,100%,--,15%,6%,--,100%
19-12: Amery Ice Shelf 7B,1,--,--,100%,--,100%,100%,--,100%,--,100%,100%,--,100%
19-13: Wilkes Land 7C,73,--,--,27%,--,94%,63%,--,100%,--,65%,17%,--,100%
19-14: Victoria Land 7D,70,--,--,22%,--,85%,41%,--,100%,--,42%,15%,--,100%
19-15: Ross Ice Shelf 7E,121,--,--,96%,--,100%,96%,--,100%,--,96%,66%,--,100%
19-16: Marie Byrd Land 7F,34,--,--,73%,--,88%,94%,--,97%,--,94%,32%,--,100%
19-17: Pine Island Bay 7G,109,--,--,11%,--,26%,6%,--,100%,--,18%,1%,--,100%
19-18: Bellingshausen Sea 7H1,20,--,--,90%,--,90%,85%,--,100%,--,95%,30%,--,100%
19-19: Alexander Island 7H2,123,--,--,76%,--,91%,88%,--,100%,--,91%,28%,--,100%
19-20: W Antarctic Pena 7I1,667,--,--,78%,--,89%,66%,--,100%,--,68%,22%,--,83%
19-21: NE Antarctic Pena 7I2,169,--,--,94%,--,99%,94%,--,100%,--,94%,66%,--,98%
19-22: SE Antarctic Pena 7I3,5,--,--,80%,--,100%,100%,--,100%,--,100%,--,--,100%
19-24: W Queen Maud Land 7K,14,--,--,28%,--,100%,100%,--,100%,--,100%,28%,--,100%
