RGI region,# total,ARCTICDEM,ASTER,AW3D30,DEM3,GIMP,MAPZEN,RAMP,REMA,SRTM,TANDEM
01-01: N Alaska,616,94%,100%,81%,100%,--,100%,--,--,--,100%
01-02: Alaska Ra (Wrangell/Kilbuck),5780,81%,100%,67%,100%,--,100%,--,--,2%,99%
01-03: Alaska Pena (Aleutians),872,87%,100%,100%,100%,--,100%,--,--,100%,100%
01-04: W Chugach Mtns (Talkeetna),4258,90%,100%,54%,100%,--,100%,--,--,10%,100%
01-05: St Elias Mtns,5031,86%,100%,54%,100%,--,100%,--,--,19%,100%
01-06: N Coast Ranges,10551,59%,100%,99%,100%,--,100%,--,--,98%,98%
02-01: Mackenzie and Selwyn Mtns,1235,68%,100%,10%,100%,--,100%,--,--,--,100%
02-02: S Coast Ranges,7387,--,100%,100%,100%,--,100%,--,--,100%,96%
02-03: N Rocky Mtns,5064,--,100%,100%,100%,--,100%,--,--,100%,98%
02-04: Cascade Ra and Sa Nevada,3202,--,100%,100%,100%,--,100%,--,--,100%,99%
02-05: S Rocky Mtns,1967,--,100%,100%,100%,--,100%,--,--,100%,100%
03-01: N Ellesmere Island,2049,99%,96%,44%,98%,15%,100%,--,--,--,100%
03-02: Axel Heiberg and Meighen Is,627,100%,100%,63%,100%,--,100%,--,--,--,100%
03-03: NC Ellesmere Island,880,100%,100%,96%,99%,40%,100%,--,--,--,100%
03-04: SC Ellesmere Island,241,100%,100%,72%,100%,7%,100%,--,--,--,100%
03-05: S Ellesmere Island (NW Devon),525,100%,100%,76%,100%,--,100%,--,--,--,100%
03-06: Devon Island,227,100%,100%,60%,100%,--,100%,--,--,--,100%
03-07: Melville Island,7,100%,100%,57%,100%,--,100%,--,--,--,100%
04-01: Bylot Island,455,99%,100%,68%,100%,--,100%,--,--,--,100%
04-02: W Baffin Island,71,100%,100%,63%,100%,--,100%,--,--,--,100%
04-03: N Baffin Island,277,99%,100%,73%,100%,--,100%,--,--,--,100%
04-04: NE Baffin Island,1442,98%,100%,47%,100%,--,100%,--,--,--,100%
04-05: EC Baffin Island,1645,97%,100%,35%,100%,--,100%,--,--,--,100%
04-06: SE Baffin Island,2249,98%,100%,42%,95%,--,100%,--,--,--,100%
04-07: Cumberland Sound,1108,99%,100%,36%,100%,--,100%,--,--,--,100%
04-08: Frobisher Bay,65,100%,100%,66%,100%,--,100%,--,--,--,100%
04-09: Labrador,103,--,100%,100%,100%,--,100%,--,--,100%,100%
05-01: Greenland Periphery,20261,95%,98%,70%,99%,100%,99%,--,--,--,99%
06-01: Iceland,568,97%,100%,27%,100%,--,100%,--,--,--,100%
07-01: Svalbard,1567,99%,100%,33%,100%,--,100%,--,--,--,99%
07-02: Jan Mayen,48,100%,100%,--,100%,--,100%,--,--,--,100%
08-01: N Scandinavia,1837,95%,100%,31%,100%,--,100%,--,--,--,100%
08-02: SW Scandinavia,1215,88%,100%,14%,100%,--,100%,--,--,3%,100%
08-03: SE Scandinavia,365,84%,100%,19%,100%,--,100%,--,--,8%,100%
09-01: Franz Josef Land,412,100%,99%,--,100%,--,100%,--,--,--,100%
09-02: Novaya Zemlya,480,97%,100%,14%,100%,--,100%,--,--,--,100%
09-03: Severnaya Zemlya,177,99%,100%,3%,99%,--,100%,--,--,--,100%
10-01: Ural Mountains,161,88%,100%,53%,100%,--,100%,--,--,--,100%
10-02: Central Siberia,481,83%,98%,50%,99%,--,99%,--,--,15%,100%
10-03: Cherskiy/Suntar Khayata Ranges,447,91%,100%,58%,100%,--,100%,--,--,--,100%
10-04: Altay and Sayan,2437,--,100%,100%,100%,--,100%,--,--,100%,100%
10-05: NE Russia,1581,96%,100%,83%,100%,--,100%,--,--,62%,100%
10-06: E Chukotka,44,95%,100%,97%,100%,--,100%,--,--,--,100%
11-01: Alps,3892,--,100%,100%,100%,--,100%,--,--,100%,93%
11-02: Southern and Eastern Europe,35,--,100%,100%,100%,--,100%,--,--,100%,100%
12-01: Caucasus and Middle East,1637,--,100%,100%,100%,--,100%,--,--,100%,98%
12-02: Middle East,251,--,100%,100%,100%,--,100%,--,--,100%,96%
13-01: Hissar Alay,3151,--,100%,100%,100%,--,100%,--,--,100%,98%
13-02: Pamir (Safed Khirs/W Tarim),10233,--,100%,100%,100%,--,100%,--,--,100%,98%
13-03: W Tien Shan,9739,--,100%,100%,100%,--,100%,--,--,100%,97%
13-04: E Tien Shan (Dzhungaria),5227,--,100%,100%,100%,--,100%,--,--,100%,99%
13-05: W Kun Lun,5397,--,100%,100%,100%,--,100%,--,--,100%,99%
13-06: E Kun Lun (Altyn Tagh),3519,--,100%,100%,100%,--,100%,--,--,100%,99%
13-07: Qilian Shan,2730,--,100%,100%,100%,--,100%,--,--,100%,100%
13-08: Inner Tibet,9368,--,100%,100%,100%,--,100%,--,--,100%,100%
13-09: S and E Tibet,5065,--,100%,100%,100%,--,100%,--,--,100%,96%
14-01: Hindu Kush,4401,--,100%,100%,100%,--,100%,--,--,100%,95%
14-02: Karakoram,13757,--,100%,100%,100%,--,100%,--,--,100%,94%
14-03: W Himalaya,9830,--,100%,100%,100%,--,100%,--,--,100%,97%
15-01: C Himalaya,4528,--,100%,100%,100%,--,100%,--,--,100%,91%
15-02: E Himalaya,4238,--,100%,100%,100%,--,100%,--,--,100%,97%
15-03: Hengduan Shan,4353,--,100%,100%,100%,--,100%,--,--,100%,94%
16-01: Low-latitude Andes,2891,--,100%,100%,100%,--,100%,--,--,100%,99%
16-02: Mexico,7,--,100%,100%,100%,--,100%,--,--,100%,100%
16-03: E Africa,36,--,100%,100%,100%,--,100%,--,--,100%,100%
16-04: New Guinea,5,--,100%,100%,100%,--,100%,--,--,100%,100%
17-01: Patagonia,9434,--,99%,99%,99%,--,100%,--,--,99%,99%
17-02: C Andes,6474,--,100%,100%,100%,--,100%,--,--,100%,98%
18-01: New Zealand,3537,--,100%,100%,100%,--,100%,--,--,100%,85%
19-01: Subantarctic (Pacific),27,--,96%,--,96%,--,100%,37%,--,--,100%
19-02: South Shetlands and South Orkney,412,--,91%,--,98%,--,100%,72%,17%,--,51%
19-03: Subantarctic (Atlantic),553,--,97%,91%,97%,--,100%,--,--,92%,92%
19-04: Subantarctic (Indian),177,--,100%,99%,100%,--,100%,--,--,98%,98%
19-05: Balleny Islands,15,--,--,--,40%,--,93%,6%,--,--,93%
19-11: E Queen Maud Land 7A,162,--,30%,--,11%,--,100%,15%,6%,--,100%
19-12: Amery Ice Shelf 7B,1,--,100%,--,100%,--,100%,100%,100%,--,100%
19-13: Wilkes Land 7C,73,--,27%,--,63%,--,100%,65%,17%,--,100%
19-14: Victoria Land 7D,70,--,22%,--,41%,--,100%,42%,15%,--,100%
19-15: Ross Ice Shelf 7E,121,--,96%,--,96%,--,100%,96%,66%,--,100%
19-16: Marie Byrd Land 7F,34,--,73%,--,94%,--,97%,94%,32%,--,100%
19-17: Pine Island Bay 7G,109,--,11%,--,6%,--,100%,18%,1%,--,100%
19-18: Bellingshausen Sea 7H1,20,--,90%,--,85%,--,100%,95%,30%,--,100%
19-19: Alexander Island 7H2,123,--,76%,--,88%,--,100%,91%,28%,--,100%
19-20: W Antarctic Pena 7I1,667,--,78%,--,66%,--,100%,68%,22%,--,83%
19-21: NE Antarctic Pena 7I2,169,--,94%,--,94%,--,100%,94%,66%,--,98%
19-22: SE Antarctic Pena 7I3,5,--,80%,--,100%,--,100%,100%,--,--,100%
19-24: W Queen Maud Land 7K,14,--,28%,--,100%,--,100%,100%,28%,--,100%
